# {"t_start": 1604712404.5037315, "env_id": "CartpoleSwingShort-v0"} 
r,l,t
63.219739,343,2941.537411
10190.68767,10000,2951.797933
37.167413,316,2953.311882
70.71142,335,2959.619016
68.742881,317,2959.819512
66.254884,318,2959.978051
54.963819,326,2960.128681
59.664664,292,2960.252354
61.61968,284,2965.213049
46.920135,290,2965.357665
52.425914,303,2965.496292
48.494527,294,2965.619963
56.002668,292,2965.742675
49.972814,314,2965.871289
71.905979,299,2965.990971
72.293401,291,2966.110649
52.408096,311,2966.245289
57.376206,283,2966.377969
9726.961597,10000,2975.521478
9711.61367,10000,2981.03676
57.222599,275,2982.545693
47.170976,352,2982.721256
57.130055,265,2988.12078
53.607079,263,2993.66894
53.007292,299,2993.815548
42.62848,307,2993.951186
60.223259,275,2994.067874
45.630519,342,2994.213524
67.157508,370,2994.363083
41.779131,299,2999.309852
59.739676,315,2999.45849
48.300232,354,2999.61404
54.550736,285,2999.758653
50.066495,275,2999.916231
58.784243,368,3000.097783
51.802116,266,3000.220456
49.358063,284,3000.33814
50.150557,335,3004.929821
49.320208,314,3005.080448
9632.945018,10000,3014.64384
9652.68059,10000,3020.459409
9785.945541,10000,3026.099281
9803.073905,10000,3031.724236
9686.704213,10000,3038.025424
9646.555065,10000,3043.577573
9596.328864,10000,3049.226424
9714.5378,10000,3056.076103
9718.01126,10000,3061.697115
9552.560042,10000,3067.876542
9669.788074,10000,3074.789052
9671.898243,10000,3080.257426
9755.227536,10000,3085.793619
9665.416103,10000,3091.277989
9701.429071,10000,3096.884954
10044.641517,10000,3103.13925
9692.95583,10000,3108.762184
9651.812676,10000,3114.523776
9789.628475,10000,3120.112827
9860.971739,10000,3125.69294
9811.118266,10000,3131.207152
9817.42539,10000,3136.877984
9771.976049,10000,3142.43117
9808.389967,10000,3148.069052
9822.905412,10000,3153.717943
9810.889088,10000,3159.253138
21.181852,149,3160.662369
20.865451,137,3160.738166
20.168623,151,3160.812967
21.221748,137,3160.901731
20.296195,154,3160.977557
21.620287,124,3161.033378
20.088609,154,3161.099239
21.320359,123,3161.152061
22.605002,177,3161.224864
21.375976,136,3161.283756
21.252263,151,3161.347536
20.539599,154,3161.410369
22.316212,143,3161.465221
21.84485,141,3161.521073
21.132069,148,3161.580912
21.783444,150,3161.638798
22.571081,168,3161.708611
21.689067,126,3161.758439
21.945259,146,3161.816284
21.183322,154,3161.876122
22.184743,156,3161.938995
22.006243,164,3162.005777
22.832346,148,3162.065655
21.135297,132,3162.119473
21.7131,134,3162.17233
23.422063,177,3162.242181
22.371137,138,3162.296001
21.143786,120,3162.342875
21.658347,137,3162.397729
22.364104,136,3162.451583
21.98722,160,3162.533408
22.126037,159,3162.597193
22.45332,147,3162.657034
20.419984,155,3162.71791
25.509553,144,3166.360128
23.584073,116,3166.43094
23.756558,123,3166.527682
21.656251,132,3166.610461
21.32944,127,3166.683265
9835.723106,10000,3176.650606
18.712827,123,3178.078785
20.076471,106,3178.145607
21.497398,130,3178.221404
20.46616,120,3178.282242
18.359013,132,3178.344076
20.762518,115,3178.396934
20.715511,127,3178.452785
19.165505,110,3178.500695
18.347266,121,3178.552519
21.064138,118,3178.601389
21.076312,107,3178.647265
19.754418,110,3178.692145
20.684559,128,3178.745003
18.853128,106,3178.805841
20.887093,120,3178.856706
22.05967,125,3178.908605
20.599768,116,3178.955441
19.501824,123,3179.008301
18.948323,116,3179.055174
22.397122,126,3179.107035
19.144878,112,3179.151916
21.233189,132,3179.204774
19.196529,123,3179.254677
21.298681,118,3179.301517
19.905192,108,3179.344402
20.063461,122,3179.392274
20.141343,109,3179.435199
19.609246,111,3179.47808
21.46284,127,3179.527909
19.348983,122,3179.575781
19.04603,100,3179.614717
20.223998,110,3179.65861
19.638875,129,3179.708464
20.889713,123,3179.755339
19.024988,110,3179.798188
19.224562,116,3179.844064
19.181815,111,3179.887947
20.888815,123,3179.936816
18.995167,125,3179.986683
20.249952,133,3180.037584
19.23353,111,3180.081429
21.648858,143,3180.146257
19.50107,114,3180.194127
19.192085,119,3180.244032
20.514471,121,3180.293896
21.439748,119,3180.34177
22.012502,121,3180.390604
19.102502,120,3180.439473
19.142079,124,3180.490335
19.31398,117,3180.537256
19.683752,122,3180.585125
19.715269,119,3180.634993
18.921614,118,3180.680864
18.667288,115,3180.725751
21.074478,114,3180.769588
19.225964,126,3180.819457
19.325886,121,3180.86633
20.388041,122,3180.914253
19.454302,131,3180.967062
20.525414,115,3181.014936
18.973602,116,3181.060809
21.032727,126,3181.110717
19.0453,106,3181.153561
20.168654,106,3181.195449
19.050256,114,3181.24033
17.734117,114,3181.286206
20.422798,120,3181.333082
18.86826,102,3181.372017
18.792169,138,3181.426871
19.121826,102,3181.466764
20.67425,110,3181.509611
19.264145,112,3181.553494
20.423819,122,3181.602363
19.195193,118,3181.651233
19.713158,107,3181.693159
19.474846,121,3181.751999
19.773501,127,3181.803861
19.4535,117,3181.850697
18.917417,122,3181.899568
18.371827,128,3181.951429
19.174875,108,3181.996309
20.041207,112,3182.043222
20.721258,106,3182.098035
21.659465,108,3182.147904
19.311061,122,3183.587054
21.038033,107,3183.645896
19.334082,122,3183.714713
22.416024,110,3183.767571
19.576871,124,3183.825415
21.204872,108,3183.874286
20.43639,103,3183.920162
18.613078,134,3183.978007
20.678692,108,3184.023884
20.141314,107,3184.068764
20.779146,117,3184.117634
19.162893,110,3184.162515
20.822507,127,3184.213377
21.408589,116,3184.26125
20.914332,108,3184.304135
19.533063,110,3184.349015
20.86763,113,3184.393894
20.996733,107,3184.435818
17.968594,122,3184.483655
19.174016,126,3184.533521
21.429004,110,3184.58638
19.901536,125,3184.638242
20.219177,111,3184.684118
19.095949,120,3184.732988
19.558802,121,3184.781858
19.661796,113,3184.827773
19.772984,116,3184.873653
20.390566,107,3184.91554
18.329041,126,3184.965366
21.973043,119,3185.01623
20.969585,119,3185.066141
19.327115,117,3185.112007
19.700894,117,3185.158888
21.335162,123,3185.207719
20.173972,120,3185.256626
21.218163,108,3185.301505
20.296923,114,3185.346347
21.087468,128,3185.396252
20.649819,123,3185.445083
20.353633,110,3185.488966
20.356936,129,3185.53983
21.15471,108,3185.581718
20.769321,124,3185.630633
19.70279,122,3185.67846
19.815899,127,3185.72837
21.180193,113,3185.772209
20.928154,119,3185.819125
20.02632,117,3185.865959
21.838772,121,3185.913867
18.83617,111,3185.956746
20.092699,119,3186.005623
21.652465,106,3186.046515
19.414301,110,3186.091396
20.382678,118,3186.138231
20.168857,122,3186.189093
20.868125,115,3186.242949
18.54886,112,3186.292816
20.393261,111,3186.339741
19.23794,122,3186.390594
19.77028,110,3186.435434
20.774892,110,3186.480354
19.903452,109,3186.531178
18.308528,108,3186.580047
18.864041,119,3186.633903
18.662419,116,3186.689754
19.716257,129,3186.767545
19.276569,113,3186.830378
20.595165,111,3186.884234
20.966967,115,3186.938126
20.935539,124,3186.992985
20.370086,122,3187.046801
19.782035,116,3187.099698
21.794197,123,3187.151519
20.59585,108,3187.196399
20.141544,111,3187.24431
18.456178,107,3187.287199
18.692355,132,3187.341063
21.355689,127,3187.391876
21.643662,111,3187.438751
19.286059,116,3187.485667
19.828783,121,3187.535492
20.086189,107,3187.578377
18.310765,117,3187.625252
19.499166,124,3187.684094
18.631752,112,3187.729972
20.150603,106,3189.112275
22.944264,107,3189.174108
20.910276,104,3189.232952
20.83613,110,3189.287805
21.704542,105,3189.337672
19.545565,111,3189.388536
20.638204,110,3189.436408
19.520604,101,3189.48029
19.883798,110,3189.527165
18.284058,109,3189.572045
20.366659,105,3189.615928
19.674906,97,3189.654824
19.352955,116,3189.701747
19.913849,113,3189.746622
21.531258,110,3189.790462
21.080214,111,3189.834382
19.756043,122,3189.882254
20.942586,106,3189.925101
19.512877,109,3189.969024
19.795624,120,3190.017853
22.303803,102,3190.05974
19.52062,116,3190.105618
21.343231,128,3190.15952
19.553397,116,3190.205352
20.425904,118,3190.253223
19.232358,107,3190.295112
19.461304,101,3190.335004
18.114597,110,3190.38188
22.932306,111,3190.425761
19.316876,107,3190.467694
19.504523,112,3190.512575
22.226782,110,3190.555414
18.803831,106,3190.597302
20.126797,112,3190.640188
20.905313,101,3190.69903
20.664746,108,3190.741957
18.9998,114,3190.787829
19.78874,107,3190.830713
18.524953,96,3190.868618
19.411115,106,3190.9105
18.723906,100,3190.948401
21.555857,108,3190.998243
22.045424,111,3191.049094
20.209427,114,3191.109932
19.383991,117,3191.174794
20.102478,102,3191.236593
20.106213,110,3191.305408
21.448427,109,3191.358268
19.331927,106,3191.407176
19.114422,113,3191.457003
20.64707,116,3191.507905
19.032518,117,3191.556775
17.712603,103,3191.600659
22.390064,119,3191.649488
19.521142,109,3191.69437
18.185473,103,3191.73526
19.639329,103,3191.777147
19.840142,112,3191.823064
18.669456,99,3191.862921
20.668266,122,3191.911787
19.987109,114,3191.956708
20.453221,110,3192.002546
18.701067,102,3192.046429
20.149085,112,3192.100283
18.114705,99,3192.165111
19.821991,112,3192.219963
21.805681,108,3192.27382
19.864168,107,3192.326679
19.183822,121,3192.387516
20.802474,104,3192.438379
18.513936,98,3192.486251
20.947843,105,3192.534122
20.66461,113,3192.586982
19.767417,114,3192.639839
20.168456,101,3192.685717
20.884059,111,3192.734587
22.050204,118,3192.786449
20.44163,122,3192.839343
21.216543,118,3192.896156
21.383405,129,3192.953003
18.539819,105,3193.000912
19.487234,111,3193.050777
18.972775,106,3193.096653
20.500756,104,3193.140501
20.116201,109,3193.188372
19.400637,117,3193.241231
21.087935,110,3193.288107
21.145382,110,3193.336014
19.377741,123,3193.40583
19.954513,111,3193.453665
20.386448,111,3193.500539
19.377125,106,3194.924728
20.007867,100,3194.98357
19.267124,95,3195.039422
18.98899,103,3195.094275
18.436503,110,3195.147166
19.196068,100,3195.195006
20.445926,102,3195.241914
20.765103,112,3195.290784
21.055676,108,3195.337625
22.089203,112,3195.384501
19.383716,97,3195.425428
20.210885,99,3195.484232
19.508872,107,3195.53513
19.450632,103,3195.580973
18.779371,105,3195.625854
20.650676,107,3195.671765
17.967804,100,3195.713618
21.408931,107,3195.757545
20.115644,120,3195.806405
21.979945,103,3195.849289
19.928252,107,3195.892142
19.456475,104,3195.935026
22.851371,105,3195.977913
20.406061,111,3196.021829
20.070462,109,3196.065713
21.889882,103,3196.106567
20.982384,108,3196.149487
19.943023,101,3196.18835
19.491858,99,3196.228242
21.945502,107,3196.270131
18.355754,99,3196.312019
19.819756,115,3196.359891
19.735577,103,3196.401779
19.39569,104,3196.44566
22.12679,112,3196.492575
19.637567,105,3196.535458
18.384224,103,3196.578305
20.87883,117,3196.629169
19.018467,109,3196.69603
18.090859,97,3196.737911
19.985553,101,3196.780794
20.543508,107,3196.826643
19.642756,109,3196.871523
19.888764,97,3196.912452
18.498061,100,3196.954344
19.829286,99,3196.99519
19.23972,106,3197.039073
19.850629,108,3197.081959
19.681545,112,3197.126875
20.606931,110,3197.171757
20.402933,116,3197.217596
18.794756,107,3197.261478
