# {"t_start": 1604679538.9705229, "env_id": "Qube-100-v0"} 
r,l,t
1.084207,347,328.594244
1.578219,600,329.043585
1.97643,600,331.030828
1.274798,600,331.47863
1.289225,504,331.858124
1.860595,600,332.291123
1.966139,600,332.750853
1.213695,432,333.046103
1.669006,600,333.487393
1.659879,600,333.954655
1.680562,600,334.403967
0.892343,361,334.689202
0.905626,367,334.952049
1.6949,600,335.422433
0.780825,317,335.651818
1.867686,600,336.107639
1.252977,397,336.383883
1.65907,600,336.824721
1.584132,600,337.262077
0.825029,319,337.491464
0.518381,284,337.695918
1.489642,561,339.650828
1.678937,600,340.153957
1.91555,600,340.615742
1.458044,552,341.095999
0.873238,356,341.37276
0.477277,219,341.53088
1.367606,513,341.901888
0.510992,221,342.058512
0.794139,250,342.263919
1.597038,569,342.696369
1.063877,318,342.911793
1.278102,473,343.244413
1.793834,600,343.685761
1.18166,360,343.961533
0.378255,204,344.116118
1.595146,600,344.610888
0.890633,363,344.886151
0.618869,300,345.122035
1.548896,564,345.580916
1.706316,584,346.109013
1.476309,525,346.538891
0.937686,364,346.834532
0.40272,177,346.978685
1.793246,600,348.865361
1.642596,600,349.416482
0.314004,164,349.545105
0.889206,364,349.81539
0.253272,157,349.996904
1.656863,600,350.771862
1.538022,538,351.446331
0.385299,176,351.623083
1.865755,600,352.177601
1.536114,562,352.791981
1.724689,600,353.365959
1.641593,600,353.956845
1.181779,459,354.354263
1.659517,600,354.876863
1.470956,600,355.343165
1.538895,529,355.81242
1.264402,406,356.150521
1.916761,600,356.657203
0.983978,377,357.020752
0.281343,161,357.159381
0.355873,171,357.305989
1.870184,600,359.580042
0.90295,305,359.851618
1.152837,395,360.157316
0.704284,276,360.359774
1.989802,600,360.943723
1.658397,593,361.516197
1.682899,600,362.03522
1.960717,600,362.496983
1.705759,600,362.961858
2.139767,600,363.401242
0.991638,371,363.675734
0.647536,275,363.885685
0.516246,187,364.051243
1.686824,600,364.549937
0.873005,359,364.853125
1.058458,382,365.140243
0.350749,169,365.272399
0.571763,261,365.497315
1.922838,600,366.088729
0.376791,169,366.231863
0.608355,228,366.421868
1.226887,470,366.823303
0.372691,173,367.059574
0.906676,329,368.931007
1.780027,600,369.380803
1.824059,600,369.831145
1.984049,600,370.28052
1.653251,600,370.718865
1.922627,600,371.164706
1.613432,443,371.491825
1.746965,600,371.926646
1.811546,600,372.39497
0.964273,374,372.684197
1.722085,600,373.132032
1.656622,600,373.579721
1.658073,600,374.020564
1.594378,600,374.484322
1.916853,600,374.910254
1.601943,516,375.282366
0.860628,263,375.485297
1.934287,600,375.953048
1.965022,600,377.758087
0.938836,331,377.993574
1.458293,600,378.456358
2.11597,600,378.917175
0.422645,176,379.058798
1.672806,600,379.485826
1.6709,600,379.910164
1.56619,600,380.347571
1.183333,430,380.661569
1.643966,600,381.097404
1.733803,600,381.534906
1.724507,600,381.957852
1.838225,600,382.398682
1.65346,600,382.848475
0.746684,281,383.053926
1.668907,600,383.511728
1.640786,600,383.939604
1.461321,600,384.356037
1.883774,600,386.254478
1.705747,600,386.703782
1.762761,600,387.128198
1.638595,600,387.550085
1.556238,600,387.981931
1.659658,600,388.412964
1.68114,600,388.876246
1.525333,530,389.256764
1.577747,600,389.705562
1.290914,506,390.069592
0.756487,312,390.286017
1.776491,600,390.726351
1.80956,600,391.158825
1.965261,600,391.594635
0.775138,314,391.834992
1.638206,600,392.255276
